No.,Time,,Time 1,Time 2,Delay,,Rata2 Delay,,delay 1,delay 2,var delay,,tot var,Jitter
68,0.426737,,0.426737,0.426779,4.2E-05,,,,4.2E-05,4E-05,-2E-06,,,
69,0.426779,,0.426779,0.426819,4E-05,,,,4E-05,0.009806,0.009766,,,
70,0.426819,,0.426819,0.436625,0.009806,,,,0.009806,0.011156,0.00135,,,
71,0.436625,,0.436625,0.447781,0.011156,,,,0.011156,0.00012,-0.011036,,,
72,0.447781,,0.447781,0.447901,0.00012,,,,0.00012,4.2E-05,-7.8E-05,,,
73,0.447901,,0.447901,0.447943,4.2E-05,,,,4.2E-05,4.2E-05,5.55112E-17,,,
74,0.447943,,0.447943,0.447985,4.2E-05,,,,4.2E-05,0.01826,0.018218,,,
75,0.447985,,0.447985,0.466245,0.01826,,,,0.01826,0.067158,0.048898,,,
76,0.466245,,0.466245,0.533403,0.067158,,,,0.067158,0.009373,-0.057785,,,
77,0.533403,,0.533403,0.542776,0.009373,,,,0.009373,0,-0.009373,,,
78,0.542776,,0.542776,0.542776,0,,,,0,0.010178,0.010178,,,
79,0.542776,,0.542776,0.552954,0.010178,,,,0.010178,0.000135,-0.010043,,,
80,0.552954,,0.552954,0.553089,0.000135,,,,0.000135,4.3E-05,-9.2E-05,,,
81,0.553089,,0.553089,0.553132,4.3E-05,,,,4.3E-05,4E-05,-3E-06,,,
82,0.553132,,0.553132,0.553172,4E-05,,,,4E-05,4.1E-05,1E-06,,,
83,0.553172,,0.553172,0.553213,4.1E-05,,,,4.1E-05,4.1E-05,1.11022E-16,,,
84,0.553213,,0.553213,0.553254,4.1E-05,,,,4.1E-05,3.8E-05,-3E-06,,,
85,0.553254,,0.553254,0.553292,3.8E-05,,,,3.8E-05,4.2E-05,4E-06,,,
86,0.553292,,0.553292,0.553334,4.2E-05,,,,4.2E-05,4.5E-05,3E-06,,,
87,0.553334,,0.553334,0.553379,4.5E-05,,,,4.5E-05,4.6E-05,1E-06,,,
88,0.553379,,0.553379,0.553425,4.6E-05,,,,4.6E-05,4E-05,-6E-06,,,
89,0.553425,,0.553425,0.553465,4E-05,,,,4E-05,0.004742,0.004702,,,
90,0.553465,,0.553465,0.558207,0.004742,,,,0.004742,0.045184,0.040442,,,
91,0.558207,,0.558207,0.603391,0.045184,,,,0.045184,0.003369,-0.041815,,,
92,0.603391,,0.603391,0.60676,0.003369,,,,0.003369,0,-0.003369,,,
93,0.60676,,0.60676,0.60676,0,,,,0,0.002344,0.002344,,,
94,0.60676,,0.60676,0.609104,0.002344,,,,0.002344,0.000318,-0.002026,,,
95,0.609104,,0.609104,0.609422,0.000318,,,,0.000318,0.039928,0.03961,,,
96,0.609422,,0.609422,0.64935,0.039928,,,,0.039928,0.010262,-0.029666,,,
97,0.64935,,0.64935,0.659612,0.010262,,,,0.010262,0.000159,-0.010103,,,
98,0.659612,,0.659612,0.659771,0.000159,,,,0.000159,4.4E-05,-0.000115,,,
99,0.659771,,0.659771,0.659815,4.4E-05,,,,4.4E-05,4.1E-05,-3E-06,,,
100,0.659815,,0.659815,0.659856,4.1E-05,,,,4.1E-05,4.4E-05,3E-06,,,
101,0.659856,,0.659856,0.6599,4.4E-05,,,,4.4E-05,4.5E-05,1E-06,,,
102,0.6599,,0.6599,0.659945,4.5E-05,,,,4.5E-05,4.6E-05,1E-06,,,
103,0.659945,,0.659945,0.659991,4.6E-05,,,,4.6E-05,4.4E-05,-2E-06,,,
104,0.659991,,0.659991,0.660035,4.4E-05,,,,4.4E-05,4E-05,-4E-06,,,
105,0.660035,,0.660035,0.660075,4E-05,,,,4E-05,0.020813,0.020773,,,
106,0.660075,,0.660075,0.680888,0.020813,,,,0.020813,0.011198,-0.009615,,,
107,0.680888,,0.680888,0.692086,0.011198,,,,0.011198,0.000241,-0.010957,,,
108,0.692086,,0.692086,0.692327,0.000241,,,,0.000241,5E-05,-0.000191,,,
109,0.692327,,0.692327,0.692377,5E-05,,,,5E-05,4.3E-05,-7E-06,,,
110,0.692377,,0.692377,0.69242,4.3E-05,,,,4.3E-05,9E-05,4.7E-05,,,
111,0.69242,,0.69242,0.69251,9E-05,,,,9E-05,4.5E-05,-4.5E-05,,,
112,0.69251,,0.69251,0.692555,4.5E-05,,,,4.5E-05,6.8E-05,2.3E-05,,,
113,0.692555,,0.692555,0.692623,6.8E-05,,,,6.8E-05,0.01753,0.017462,,,
114,0.692623,,0.692623,0.710153,0.01753,,,,0.01753,0.00039,-0.01714,,,
115,0.710153,,0.710153,0.710543,0.00039,,,,0.00039,0.010928,0.010538,,,
116,0.710543,,0.710543,0.721471,0.010928,,,,0.010928,0.000144,-0.010784,,,
117,0.721471,,0.721471,0.721615,0.000144,,,,0.000144,0.043639,0.043495,,,
118,0.721615,,0.721615,0.765254,0.043639,,,,0.043639,0.01021,-0.033429,,,
119,0.765254,,0.765254,0.775464,0.01021,,,,0.01021,0.000267,-0.009943,,,
120,0.775464,,0.775464,0.775731,0.000267,,,,0.000267,5.5E-05,-0.000212,,,
121,0.775731,,0.775731,0.775786,5.5E-05,,,,5.5E-05,4.5E-05,-1E-05,,,
122,0.775786,,0.775786,0.775831,4.5E-05,,,,4.5E-05,9.1E-05,4.6E-05,,,
123,0.775831,,0.775831,0.775922,9.1E-05,,,,9.1E-05,0.009437,0.009346,,,
124,0.775922,,0.775922,0.785359,0.009437,,,,0.009437,0.000124,-0.009313,,,
125,0.785359,,0.785359,0.785483,0.000124,,,,0.000124,0.002037,0.001913,,,
126,0.785483,,0.785483,0.78752,0.002037,,,,0.002037,0.009928,0.007891,,,
127,0.78752,,0.78752,0.797448,0.009928,,,,0.009928,0.000194,-0.009734,,,
128,0.797448,,0.797448,0.797642,0.000194,,,,0.000194,0.010697,0.010503,,,
129,0.797642,,0.797642,0.808339,0.010697,,,,0.010697,0.003318,-0.007379,,,
130,0.808339,,0.808339,0.811657,0.003318,,,,0.003318,0.000252,-0.003066,,,
131,0.811657,,0.811657,0.811909,0.000252,,,,0.000252,0.000144,-0.000108,,,
132,0.811909,,0.811909,0.812053,0.000144,,,,0.000144,6.9E-05,-7.5E-05,,,
133,0.812053,,0.812053,0.812122,6.9E-05,,,,6.9E-05,0.010631,0.010562,,,
134,0.812122,,0.812122,0.822753,0.010631,,,,0.010631,0.02061,0.009979,,,
135,0.822753,,0.822753,0.843363,0.02061,,,,0.02061,0.067243,0.046633,,,
136,0.843363,,0.843363,0.910606,0.067243,,,,0.067243,0.000111,-0.067132,,,
137,0.910606,,0.910606,0.910717,0.000111,,,,0.000111,0.003681,0.00357,,,
138,0.910717,,0.910717,0.914398,0.003681,,,,0.003681,0.000232,-0.003449,,,
139,0.914398,,0.914398,0.91463,0.000232,,,,0.000232,0.000201,-3.1E-05,,,
140,0.91463,,0.91463,0.914831,0.000201,,,,0.000201,0.000148,-5.3E-05,,,
141,0.914831,,0.914831,0.914979,0.000148,,,,0.000148,4.5E-05,-0.000103,,,
142,0.914979,,0.914979,0.915024,4.5E-05,,,,4.5E-05,4.4E-05,-1E-06,,,
143,0.915024,,0.915024,0.915068,4.4E-05,,,,4.4E-05,4.2E-05,-2E-06,,,
144,0.915068,,0.915068,0.91511,4.2E-05,,,,4.2E-05,4.2E-05,0,,,
145,0.91511,,0.91511,0.915152,4.2E-05,,,,4.2E-05,4.2E-05,0,,,
146,0.915152,,0.915152,0.915194,4.2E-05,,,,4.2E-05,4.8E-05,6E-06,,,
147,0.915194,,0.915194,0.915242,4.8E-05,,,,4.8E-05,0.010207,0.010159,,,
148,0.915242,,0.915242,0.925449,0.010207,,,,0.010207,0.010741,0.000534,,,
149,0.925449,,0.925449,0.93619,0.010741,,,,0.010741,0.000181,-0.01056,,,
150,0.93619,,0.93619,0.936371,0.000181,,,,0.000181,5.8E-05,-0.000123,,,
151,0.936371,,0.936371,0.936429,5.8E-05,,,,5.8E-05,0.041891,0.041833,,,
152,0.936429,,0.936429,0.97832,0.041891,,,,0.041891,0.00015,-0.041741,,,
153,0.97832,,0.97832,0.97847,0.00015,,,,0.00015,6.8E-05,-8.2E-05,,,
154,0.97847,,0.97847,0.978538,6.8E-05,,,,6.8E-05,0.000104,3.6E-05,,,
155,0.978538,,0.978538,0.978642,0.000104,,,,0.000104,6.8E-05,-3.6E-05,,,
156,0.978642,,0.978642,0.97871,6.8E-05,,,,6.8E-05,4.8E-05,-2E-05,,,
157,0.97871,,0.97871,0.978758,4.8E-05,,,,4.8E-05,4.9E-05,1E-06,,,
158,0.978758,,0.978758,0.978807,4.9E-05,,,,4.9E-05,0.000107,5.8E-05,,,
159,0.978807,,0.978807,0.978914,0.000107,,,,0.000107,0.018416,0.018309,,,
160,0.978914,,0.978914,0.99733,0.018416,,,,0.018416,0.009965,-0.008451,,,
161,0.99733,,0.99733,1.007295,0.009965,,,,0.009965,0.007528,-0.002437,,,
162,1.007295,,1.007295,1.014823,0.007528,,,,0.007528,0.010263,0.002735,,,
163,1.014823,,1.014823,1.025086,0.010263,,,,0.010263,0.00023,-0.010033,,,
164,1.025086,,1.025086,1.025316,0.00023,,,,0.00023,4.8E-05,-0.000182,,,
165,1.025316,,1.025316,1.025364,4.8E-05,,,,4.8E-05,0.000168,0.00012,,,
166,1.025364,,1.025364,1.025532,0.000168,,,,0.000168,9.1E-05,-7.7E-05,,,
167,1.025532,,1.025532,1.025623,9.1E-05,,,,9.1E-05,0.010364,0.010273,,,
168,1.025623,,1.025623,1.035987,0.010364,,,,0.010364,0.000164,-0.0102,,,
169,1.035987,,1.035987,1.036151,0.000164,,,,0.000164,0.029419,0.029255,,,
170,1.036151,,1.036151,1.06557,0.029419,,,,0.029419,0.009995,-0.019424,,,
171,1.06557,,1.06557,1.075565,0.009995,,,,0.009995,0.000311,-0.009684,,,
172,1.075565,,1.075565,1.075876,0.000311,,,,0.000311,6.4E-05,-0.000247,,,
173,1.075876,,1.075876,1.07594,6.4E-05,,,,6.4E-05,5E-05,-1.4E-05,,,
174,1.07594,,1.07594,1.07599,5E-05,,,,5E-05,5.6E-05,6E-06,,,
175,1.07599,,1.07599,1.076046,5.6E-05,,,,5.6E-05,5.2E-05,-4E-06,,,
176,1.076046,,1.076046,1.076098,5.2E-05,,,,5.2E-05,0.016444,0.016392,,,
177,1.076098,,1.076098,1.092542,0.016444,,,,0.016444,0.000405,-0.016039,,,
178,1.092542,,1.092542,1.092947,0.000405,,,,0.000405,0.02137,0.020965,,,
179,1.092947,,1.092947,1.114317,0.02137,,,,0.02137,0.012623,-0.008747,,,
180,1.114317,,1.114317,1.12694,0.012623,,,,0.012623,0.009535,-0.003088,,,
181,1.12694,,1.12694,1.136475,0.009535,,,,0.009535,0.0102,0.000665,,,
182,1.136475,,1.136475,1.146675,0.0102,,,,0.0102,0.000299,-0.009901,,,
183,1.146675,,1.146675,1.146974,0.000299,,,,0.000299,0.010219,0.00992,,,
184,1.146974,,1.146974,1.157193,0.010219,,,,0.010219,0.043885,0.033666,,,
185,1.157193,,1.157193,1.201078,0.043885,,,,0.043885,0.002375,-0.04151,,,
186,1.201078,,1.201078,1.203453,0.002375,,,,0.002375,0,-0.002375,,,
187,1.203453,,1.203453,1.203453,0,,,,0,0.000221,0.000221,,,
188,1.203453,,1.203453,1.203674,0.000221,,,,0.000221,0.000287,6.6E-05,,,
189,1.203674,,1.203674,1.203961,0.000287,,,,0.000287,0.00016,-0.000127,,,
190,1.203961,,1.203961,1.204121,0.00016,,,,0.00016,5.2E-05,-0.000108,,,
191,1.204121,,1.204121,1.204173,5.2E-05,,,,5.2E-05,4.8E-05,-4E-06,,,
192,1.204173,,1.204173,1.204221,4.8E-05,,,,4.8E-05,4.1E-05,-7E-06,,,
193,1.204221,,1.204221,1.204262,4.1E-05,,,,4.1E-05,4.8E-05,7E-06,,,
194,1.204262,,1.204262,1.20431,4.8E-05,,,,4.8E-05,5.2E-05,4E-06,,,
195,1.20431,,1.20431,1.204362,5.2E-05,,,,5.2E-05,4.6E-05,-6E-06,,,
196,1.204362,,1.204362,1.204408,4.6E-05,,,,4.6E-05,4.5E-05,-1E-06,,,
197,1.204408,,1.204408,1.204453,4.5E-05,,,,4.5E-05,4.2E-05,-3E-06,,,
198,1.204453,,1.204453,1.204495,4.2E-05,,,,4.2E-05,4.1E-05,-1E-06,,,
199,1.204495,,1.204495,1.204536,4.1E-05,,,,4.1E-05,0.01393,0.013889,,,
200,1.204536,,1.204536,1.218466,0.01393,,,,0.01393,0,-0.01393,,,
201,1.218466,,1.218466,1.218466,0,,,,0,0.009571,0.009571,,,
202,1.218466,,1.218466,1.228037,0.009571,,,,0.009571,0.000164,-0.009407,,,
203,1.228037,,1.228037,1.228201,0.000164,,,,0.000164,5.3E-05,-0.000111,,,
204,1.228201,,1.228201,1.228254,5.3E-05,,,,5.3E-05,0.042324,0.042271,,,
205,1.228254,,1.228254,1.270578,0.042324,,,,0.042324,0.010542,-0.031782,,,
206,1.270578,,1.270578,1.28112,0.010542,,,,0.010542,0.000293,-0.010249,,,
207,1.28112,,1.28112,1.281413,0.000293,,,,0.000293,0.007648,0.007355,,,
208,1.281413,,1.281413,1.289061,0.007648,,,,0.007648,0.010109,0.002461,,,
209,1.289061,,1.289061,1.29917,0.010109,,,,0.010109,0.000163,-0.009946,,,
210,1.29917,,1.29917,1.299333,0.000163,,,,0.000163,4.9E-05,-0.000114,,,
211,1.299333,,1.299333,1.299382,4.9E-05,,,,4.9E-05,0.039941,0.039892,,,
212,1.299382,,1.299382,1.339323,0.039941,,,,0.039941,0.011407,-0.028534,,,
213,1.339323,,1.339323,1.35073,0.011407,,,,0.011407,0.011548,0.000141,,,
214,1.35073,,1.35073,1.362278,0.011548,,,,0.011548,0.000122,-0.011426,,,
215,1.362278,,1.362278,1.3624,0.000122,,,,0.000122,4E-05,-8.2E-05,,,
216,1.3624,,1.3624,1.36244,4E-05,,,,4E-05,3.9E-05,-1E-06,,,
217,1.36244,,1.36244,1.362479,3.9E-05,,,,3.9E-05,5.3E-05,1.4E-05,,,
218,1.362479,,1.362479,1.362532,5.3E-05,,,,5.3E-05,6.7E-05,1.4E-05,,,
219,1.362532,,1.362532,1.362599,6.7E-05,,,,6.7E-05,3.6E-05,-3.1E-05,,,
220,1.362599,,1.362599,1.362635,3.6E-05,,,,3.6E-05,3.9E-05,3E-06,,,
221,1.362635,,1.362635,1.362674,3.9E-05,,,,3.9E-05,7.5E-05,3.6E-05,,,
222,1.362674,,1.362674,1.362749,7.5E-05,,,,7.5E-05,0.008621,0.008546,,,
223,1.362749,,1.362749,1.37137,0.008621,,,,0.008621,0.029227,0.020606,,,
224,1.37137,,1.37137,1.400597,0.029227,,,,0.029227,0.010571,-0.018656,,,
225,1.400597,,1.400597,1.411168,0.010571,,,,0.010571,0.010548,-2.3E-05,,,
226,1.411168,,1.411168,1.421716,0.010548,,,,0.010548,0.000153,-0.010395,,,
227,1.421716,,1.421716,1.421869,0.000153,,,,0.000153,0.000519,0.000366,,,
228,1.421869,,1.421869,1.422388,0.000519,,,,0.000519,0,-0.000519,,,
229,1.422388,,1.422388,1.422388,0,,,,0,0.010378,0.010378,,,
230,1.422388,,1.422388,1.432766,0.010378,,,,0.010378,0.000149,-0.010229,,,
231,1.432766,,1.432766,1.432915,0.000149,,,,0.000149,5.4E-05,-9.5E-05,,,
232,1.432915,,1.432915,1.432969,5.4E-05,,,,5.4E-05,0.008085,0.008031,,,
233,1.432969,,1.432969,1.441054,0.008085,,,,0.008085,0.01007,0.001985,,,
234,1.441054,,1.441054,1.451124,0.01007,,,,0.01007,0.000323,-0.009747,,,
235,1.451124,,1.451124,1.451447,0.000323,,,,0.000323,0.000181,-0.000142,,,
236,1.451447,,1.451447,1.451628,0.000181,,,,0.000181,5.2E-05,-0.000129,,,
237,1.451628,,1.451628,1.45168,5.2E-05,,,,5.2E-05,5.4E-05,2E-06,,,
238,1.45168,,1.45168,1.451734,5.4E-05,,,,5.4E-05,4.8E-05,-6E-06,,,
239,1.451734,,1.451734,1.451782,4.8E-05,,,,4.8E-05,0.039789,0.039741,,,
240,1.451782,,1.451782,1.491571,0.039789,,,,0.039789,0.010116,-0.029673,,,
241,1.491571,,1.491571,1.501687,0.010116,,,,0.010116,0.000134,-0.009982,,,
242,1.501687,,1.501687,1.501821,0.000134,,,,0.000134,4.3E-05,-9.1E-05,,,
243,1.501821,,1.501821,1.501864,4.3E-05,,,,4.3E-05,4.4E-05,1E-06,,,
244,1.501864,,1.501864,1.501908,4.4E-05,,,,4.4E-05,3.8E-05,-6E-06,,,
245,1.501908,,1.501908,1.501946,3.8E-05,,,,3.8E-05,4.2E-05,4E-06,,,
246,1.501946,,1.501946,1.501988,4.2E-05,,,,4.2E-05,4.1E-05,-1E-06,,,
247,1.501988,,1.501988,1.502029,4.1E-05,,,,4.1E-05,6.4E-05,2.3E-05,,,
248,1.502029,,1.502029,1.502093,6.4E-05,,,,6.4E-05,0.023873,0.023809,,,
249,1.502093,,1.502093,1.525966,0.023873,,,,0.023873,0.026543,0.00267,,,
250,1.525966,,1.525966,1.552509,0.026543,,,,0.026543,0.010838,-0.015705,,,
251,1.552509,,1.552509,1.563347,0.010838,,,,0.010838,0.000268,-0.01057,,,
252,1.563347,,1.563347,1.563615,0.000268,,,,0.000268,0.019205,0.018937,,,
253,1.563615,,1.563615,1.58282,0.019205,,,,0.019205,0.010637,-0.008568,,,
254,1.58282,,1.58282,1.593457,0.010637,,,,0.010637,0.000121,-0.010516,,,
255,1.593457,,1.593457,1.593578,0.000121,,,,0.000121,3.9E-05,-8.2E-05,,,
256,1.593578,,1.593578,1.593617,3.9E-05,,,,3.9E-05,3.9E-05,-2.22045E-16,,,
257,1.593617,,1.593617,1.593656,3.9E-05,,,,3.9E-05,4.1E-05,2E-06,,,
258,1.593656,,1.593656,1.593697,4.1E-05,,,,4.1E-05,3.7E-05,-4E-06,,,
259,1.593697,,1.593697,1.593734,3.7E-05,,,,3.7E-05,0.009555,0.009518,,,
260,1.593734,,1.593734,1.603289,0.009555,,,,0.009555,0.009988,0.000433,,,
261,1.603289,,1.603289,1.613277,0.009988,,,,0.009988,0.000297,-0.009691,,,
262,1.613277,,1.613277,1.613574,0.000297,,,,0.000297,0.000136,-0.000161,,,
263,1.613574,,1.613574,1.61371,0.000136,,,,0.000136,5.1E-05,-8.5E-05,,,
264,1.61371,,1.61371,1.613761,5.1E-05,,,,5.1E-05,0.016788,0.016737,,,
265,1.613761,,1.613761,1.630549,0.016788,,,,0.016788,0.013017,-0.003771,,,
266,1.630549,,1.630549,1.643566,0.013017,,,,0.013017,0.030567,0.01755,,,
267,1.643566,,1.643566,1.674133,0.030567,,,,0.030567,0.00598,-0.024587,,,
268,1.674133,,1.674133,1.680113,0.00598,,,,0.00598,0.000327,-0.005653,,,
269,1.680113,,1.680113,1.68044,0.000327,,,,0.000327,0.000158,-0.000169,,,
270,1.68044,,1.68044,1.680598,0.000158,,,,0.000158,4.7E-05,-0.000111,,,
271,1.680598,,1.680598,1.680645,4.7E-05,,,,4.7E-05,0.010126,0.010079,,,
272,1.680645,,1.680645,1.690771,0.010126,,,,0.010126,0.023956,0.01383,,,
273,1.690771,,1.690771,1.714727,0.023956,,,,0.023956,0.011066,-0.01289,,,
274,1.714727,,1.714727,1.725793,0.011066,,,,0.011066,0.000155,-0.010911,,,
275,1.725793,,1.725793,1.725948,0.000155,,,,0.000155,4.7E-05,-0.000108,,,
276,1.725948,,1.725948,1.725995,4.7E-05,,,,4.7E-05,4.8E-05,1E-06,,,
277,1.725995,,1.725995,1.726043,4.8E-05,,,,4.8E-05,4.4E-05,-4E-06,,,
278,1.726043,,1.726043,1.726087,4.4E-05,,,,4.4E-05,4.1E-05,-3E-06,,,
279,1.726087,,1.726087,1.726128,4.1E-05,,,,4.1E-05,4.5E-05,4E-06,,,
280,1.726128,,1.726128,1.726173,4.5E-05,,,,4.5E-05,0.008755,0.00871,,,
281,1.726173,,1.726173,1.734928,0.008755,,,,0.008755,0.010262,0.001507,,,
282,1.734928,,1.734928,1.74519,0.010262,,,,0.010262,0.000185,-0.010077,,,
283,1.74519,,1.74519,1.745375,0.000185,,,,0.000185,5.8E-05,-0.000127,,,
284,1.745375,,1.745375,1.745433,5.8E-05,,,,5.8E-05,4.8E-05,-1E-05,,,
285,1.745433,,1.745433,1.745481,4.8E-05,,,,4.8E-05,0.022266,0.022218,,,
286,1.745481,,1.745481,1.767747,0.022266,,,,0.022266,0.009548,-0.012718,,,
287,1.767747,,1.767747,1.777295,0.009548,,,,0.009548,0.000121,-0.009427,,,
288,1.777295,,1.777295,1.777416,0.000121,,,,0.000121,4.2E-05,-7.9E-05,,,
289,1.777416,,1.777416,1.777458,4.2E-05,,,,4.2E-05,3.7E-05,-5E-06,,,
290,1.777458,,1.777458,1.777495,3.7E-05,,,,3.7E-05,8.5E-05,4.8E-05,,,
291,1.777495,,1.777495,1.77758,8.5E-05,,,,8.5E-05,0.028861,0.028776,,,
292,1.77758,,1.77758,1.806441,0.028861,,,,0.028861,0.00036,-0.028501,,,
293,1.806441,,1.806441,1.806801,0.00036,,,,0.00036,0.000176,-0.000184,,,
294,1.806801,,1.806801,1.806977,0.000176,,,,0.000176,0.009464,0.009288,,,
295,1.806977,,1.806977,1.816441,0.009464,,,,0.009464,0.000266,-0.009198,,,
296,1.816441,,1.816441,1.816707,0.000266,,,,0.000266,0.00021,-5.6E-05,,,
