No.,Time,,Time 1,Time 2,Delay,,Rata2 Delay,,Delay 1,Delay 2,Var delay,,Total Var ,Jitter
71,0.665577,,0.665577,0.679002,0.013425,,,,0.013425,0.006144,-0.007281,,,
72,0.679002,,0.679002,0.685146,0.006144,,,,0.006144,0.013189,0.007045,,,
73,0.685146,,0.685146,0.698335,0.013189,,,,0.013189,0.007496,-0.005693,,,
74,0.698335,,0.698335,0.705831,0.007496,,,,0.007496,0.014973,0.007477,,,
75,0.705831,,0.705831,0.720804,0.014973,,,,0.014973,0.004431,-0.010542,,,
76,0.720804,,0.720804,0.725235,0.004431,,,,0.004431,0.013573,0.009142,,,
77,0.725235,,0.725235,0.738808,0.013573,,,,0.013573,0.00737,-0.006203,,,
78,0.738808,,0.738808,0.746178,0.00737,,,,0.00737,0.012025,0.004655,,,
79,0.746178,,0.746178,0.758203,0.012025,,,,0.012025,0.006981,-0.005044,,,
80,0.758203,,0.758203,0.765184,0.006981,,,,0.006981,0.016729,0.009748,,,
81,0.765184,,0.765184,0.781913,0.016729,,,,0.016729,0.004072,-0.012657,,,
82,0.781913,,0.781913,0.785985,0.004072,,,,0.004072,0.013897,0.009825,,,
83,0.785985,,0.785985,0.799882,0.013897,,,,0.013897,0.005312,-0.008585,,,
84,0.799882,,0.799882,0.805194,0.005312,,,,0.005312,0.014693,0.009381,,,
85,0.805194,,0.805194,0.819887,0.014693,,,,0.014693,0.006166,-0.008527,,,
86,0.819887,,0.819887,0.826053,0.006166,,,,0.006166,0.013871,0.007705,,,
87,0.826053,,0.826053,0.839924,0.013871,,,,0.013871,0.00554,-0.008331,,,
88,0.839924,,0.839924,0.845464,0.00554,,,,0.00554,0.013237,0.007697,,,
89,0.845464,,0.845464,0.858701,0.013237,,,,0.013237,0.006561,-0.006676,,,
90,0.858701,,0.858701,0.865262,0.006561,,,,0.006561,0.017239,0.010678,,,
91,0.865262,,0.865262,0.882501,0.017239,,,,0.017239,0.003053,-0.014186,,,
92,0.882501,,0.882501,0.885554,0.003053,,,,0.003053,0.013199,0.010146,,,
93,0.885554,,0.885554,0.898753,0.013199,,,,0.013199,0.00616,-0.007039,,,
94,0.898753,,0.898753,0.904913,0.00616,,,,0.00616,0.013967,0.007807,,,
95,0.904913,,0.904913,0.91888,0.013967,,,,0.013967,0.006465,-0.007502,,,
96,0.91888,,0.91888,0.925345,0.006465,,,,0.006465,0.001551,-0.004914,,,
97,0.925345,,0.925345,0.926896,0.001551,,,,0.001551,0.011154,0.009603,,,
98,0.926896,,0.926896,0.93805,0.011154,,,,0.011154,0.007364,-0.00379,,,
99,0.93805,,0.93805,0.945414,0.007364,,,,0.007364,0.013157,0.005793,,,
100,0.945414,,0.945414,0.958571,0.013157,,,,0.013157,0.007335,-0.005822,,,
101,0.958571,,0.958571,0.965906,0.007335,,,,0.007335,0.013616,0.006281,,,
102,0.965906,,0.965906,0.979522,0.013616,,,,0.013616,0.005761,-0.007855,,,
103,0.979522,,0.979522,0.985283,0.005761,,,,0.005761,0.013034,0.007273,,,
104,0.985283,,0.985283,0.998317,0.013034,,,,0.013034,0.007627,-0.005407,,,
105,0.998317,,0.998317,1.005944,0.007627,,,,0.007627,0.012176,0.004549,,,
106,1.005944,,1.005944,1.01812,0.012176,,,,0.012176,0.007122,-0.005054,,,
107,1.01812,,1.01812,1.025242,0.007122,,,,0.007122,0.013185,0.006063,,,
108,1.025242,,1.025242,1.038427,0.013185,,,,0.013185,0.007474,-0.005711,,,
109,1.038427,,1.038427,1.045901,0.007474,,,,0.007474,0.012139,0.004665,,,
110,1.045901,,1.045901,1.05804,0.012139,,,,0.012139,0.007017,-0.005122,,,
111,1.05804,,1.05804,1.065057,0.007017,,,,0.007017,0.015423,0.008406,,,
