No.,Time,,Time 1,Time 2,Delay,,Delay 1,Delay 2,Var delay,,,Total Delay,,Rata2 Delay
76,1.002046,,1.002046,1.018441,0.016395,,0.016395,0.041118,0.024723,,,,,
77,1.018441,,1.018441,1.059559,0.041118,,0.041118,0.044601,0.003483,,,,,
78,1.059559,,1.059559,1.10416,0.044601,,0.044601,0.921913,0.877312,,,,,
79,1.10416,,1.10416,2.026073,0.921913,,0.921913,0.121659,-0.800254,,,,,
80,2.026073,,2.026073,2.147732,0.121659,,0.121659,0.008017,-0.113642,,,,,
81,2.147732,,2.147732,2.155749,0.008017,,0.008017,0.202787,0.19477,,,,,
82,2.155749,,2.155749,2.358536,0.202787,,0.202787,0.032709,-0.170078,,,,,
83,2.358536,,2.358536,2.391245,0.032709,,0.032709,0.000629,-0.03208,,,,,
84,2.391245,,2.391245,2.391874,0.000629,,0.000629,0.000756,0.000127,,,,,
85,2.391874,,2.391874,2.39263,0.000756,,0.000756,0.001279,0.000523,,,,,
86,2.39263,,2.39263,2.393909,0.001279,,0.001279,0.022618,0.021339,,,,,
87,2.393909,,2.393909,2.416527,0.022618,,0.022618,0.014342,-0.008276,,,,,
88,2.416527,,2.416527,2.430869,0.014342,,0.014342,0.471663,0.457321,,,,,
89,2.430869,,2.430869,2.902532,0.471663,,0.471663,0.018967,-0.452696,,,,,
90,2.902532,,2.902532,2.921499,0.018967,,0.018967,0.016339,-0.002628,,,,,
91,2.921499,,2.921499,2.937838,0.016339,,0.016339,0.01547,-0.000869,,,,,
92,2.937838,,2.937838,2.953308,0.01547,,0.01547,0.021409,0.005939,,,,,
93,2.953308,,2.953308,2.974717,0.021409,,0.021409,0.007582,-0.013827,,,,,
94,2.974717,,2.974717,2.982299,0.007582,,0.007582,0.00912,0.001538,,,,,
95,2.982299,,2.982299,2.991419,0.00912,,0.00912,0.094004,0.084884,,,,,
96,2.991419,,2.991419,3.085423,0.094004,,0.094004,0.251119,0.157115,,,,,
97,3.085423,,3.085423,3.336542,0.251119,,0.251119,0.180706,-0.070413,,,,,
98,3.336542,,3.336542,3.517248,0.180706,,0.180706,0,-0.180706,,,,,
99,3.517248,,3.517248,3.517248,0,,0,0,0,,,,,
100,3.517248,,3.517248,3.517248,0,,0,0.000279,0.000279,,,,,
101,3.517248,,3.517248,3.517527,0.000279,,0.000279,0,-0.000279,,,,,
102,3.517527,,3.517527,3.517527,0,,0,0.00099,0.00099,,,,,
103,3.517527,,3.517527,3.518517,0.00099,,0.00099,0.000735,-0.000255,,,,,
